placa,tipo_infraccion,gravedad,tipo_vehiculo,velocidad,fecha_hora,hora
HSG-297,NO_CINTURON,MODERADA,AUTO,56.93954128528409,2025-03-15 15:30:29.375433,21
LHV-646,NO_RESPETAR_PASO_PEATONAL,MUY_GRAVE,MOTO,69.20276959095625,2025-07-11 15:30:29.375807,21
DLZ-904,EXCESO_VELOCIDAD,GRAVE,AUTO,44.658111522023916,2025-03-13 15:30:29.376215,23
CTK-948,NO_CINTURON,GRAVE,MOTO,106.57301142700084,2025-07-08 15:30:29.376592,8
ZOJ-115,LUZ_ROJA,LEVE,MOTO,65.21103954963493,2024-11-11 15:30:29.378606,1
ZOJ-115,ESTACIONAMIENTO_PROHIBIDO,LEVE,AUTO,82.14810524588844,2025-03-01 15:30:29.379024,2
YBO-814,GIRO_PROHIBIDO,MUY_GRAVE,AUTO,80.70137031221176,2025-09-28 15:30:29.379404,13
HUG-221,EXCESO_VELOCIDAD,GRAVE,AUTO,68.15400231891648,2025-06-23 15:30:29.379762,13
ROS-546,EXCESO_VELOCIDAD,MODERADA,AUTO,54.44078501870841,2024-11-01 15:30:29.380297,1
QQT-979,NO_CINTURON,LEVE,MOTO,36.66152024265156,2025-03-31 15:30:29.380674,21
LSJ-524,EXCESO_VELOCIDAD,MODERADA,MOTO,55.914060442502866,2024-10-16 15:30:29.381072,0
WCL-253,EXCESO_VELOCIDAD,MODERADA,MOTO,54.77021798388211,2025-06-13 15:30:29.381483,10
GQW-893,EXCESO_VELOCIDAD,MODERADA,MOTO,54.76113443522357,2025-06-14 15:30:29.381887,11
OAT-577,USO_CELULAR,GRAVE,AUTO,55.09678830480522,2025-06-04 15:30:29.382286,8
TAE-428,NO_RESPETAR_PASO_PEATONAL,LEVE,AUTO,51.73577828301859,2025-03-28 15:30:29.382626,4
UER-703,LUZ_ROJA,LEVE,AUTO,46.78339275710308,2025-02-12 15:30:29.383023,23
OXK-930,LUZ_ROJA,MUY_GRAVE,MOTO,84.23937755008116,2025-04-10 15:30:29.383391,6
ZZB-537,EXCESO_VELOCIDAD,MODERADA,AUTO,44.016544127024616,2025-06-08 15:30:29.383731,12
BNU-715,GIRO_PROHIBIDO,LEVE,MOTO,61.3770866187101,2024-11-05 15:30:29.384136,0
GVZ-225,EXCESO_VELOCIDAD,LEVE,BUS,72.07789012171422,2025-06-15 15:30:29.384517,10
TZQ-672,LUZ_ROJA,LEVE,MOTO,41.715412161958106,2024-12-13 15:30:29.384893,7
WPR-106,LUZ_ROJA,MUY_GRAVE,MOTO,43.85009237733502,2025-05-23 15:30:29.385296,20
HHG-715,NO_CINTURON,LEVE,MOTO,70.02611941413548,2025-04-03 15:30:29.385662,5
BUL-829,NO_RESPETAR_PASO_PEATONAL,MODERADA,CAMION,65.10900028649787,2024-11-22 15:30:29.386070,1
SQN-620,GIRO_PROHIBIDO,MUY_GRAVE,AUTO,81.52772323785078,2025-07-22 15:30:29.386475,12
SGJ-332,EXCESO_VELOCIDAD,GRAVE,AUTO,74.69389426261299,2025-03-13 15:30:29.387004,14
KXQ-866,EXCESO_VELOCIDAD,LEVE,MOTO,39.977942426715344,2024-11-30 15:30:29.387418,0
NSF-964,USO_CELULAR,MODERADA,AUTO,42.17269917110352,2024-11-16 15:30:29.387772,1
KHZ-282,USO_CELULAR,MODERADA,BUS,64.68119128229503,2025-06-17 15:30:29.388181,11
WCL-253,EXCESO_VELOCIDAD,MODERADA,AUTO,80.76409227765777,2024-11-20 15:30:29.388570,13
OSK-669,GIRO_PROHIBIDO,MODERADA,MOTO,68.4586368007854,2025-06-27 15:30:29.388972,22
AVW-470,NO_CINTURON,GRAVE,AUTO,57.16654968323287,2024-12-26 15:30:29.389369,13
SQN-620,NO_CINTURON,MODERADA,MOTO,68.29609914660719,2025-05-08 15:30:29.389747,14
UYD-493,USO_CELULAR,LEVE,MOTO,45.15557795144494,2025-06-02 15:30:29.390143,10
JGY-372,NO_CINTURON,LEVE,AUTO,74.11156781982324,2025-08-02 15:30:29.390570,23
PKV-619,USO_CELULAR,LEVE,BUS,80.96122054590558,2025-04-23 15:30:29.390957,23
GNZ-232,NO_CINTURON,MUY_GRAVE,MOTO,58.87283749784975,2025-06-16 15:30:29.391320,20
ICA-504,USO_CELULAR,GRAVE,MOTO,53.05576401861961,2025-04-25 15:30:29.391676,7
HZJ-701,EXCESO_VELOCIDAD,LEVE,MOTO,43.77870556881894,2025-08-23 15:30:29.392083,23
QDR-971,INVASION_CARRIL,MODERADA,MOTO,51.483674052387094,2025-02-12 15:30:29.392455,4
ROL-108,EXCESO_VELOCIDAD,GRAVE,AUTO,66.48288977198108,2025-05-16 15:30:29.392806,16
NBS-853,LUZ_ROJA,MODERADA,MOTO,36.94578059960519,2025-07-26 15:30:29.393237,12
YJY-458,ESTACIONAMIENTO_PROHIBIDO,MUY_GRAVE,AUTO,64.01626836546693,2025-07-19 15:30:29.393600,17
KJH-649,ESTACIONAMIENTO_PROHIBIDO,MODERADA,MOTO,65.84940879044852,2025-07-02 15:30:29.393989,9
FEK-610,EXCESO_VELOCIDAD,LEVE,AUTO,78.06102028327327,2024-10-24 15:30:29.394358,3
UJD-140,ESTACIONAMIENTO_PROHIBIDO,LEVE,AUTO,44.66346930681351,2024-11-30 15:30:29.394709,1
RDR-392,INVASION_CARRIL,LEVE,AUTO,91.19918885535783,2025-02-24 15:30:29.395083,7
KZW-447,NO_CINTURON,LEVE,AUTO,37.506188156956,2024-12-25 15:30:29.395445,1
PME-692,ESTACIONAMIENTO_PROHIBIDO,LEVE,AUTO,40.05535046641039,2025-09-06 15:30:29.395800,4
KWA-913,NO_CINTURON,GRAVE,AUTO,36.65989900839475,2025-08-18 15:30:29.396190,15
TYC-584,EXCESO_VELOCIDAD,MODERADA,MOTO,32.67142901021469,2025-05-21 15:30:29.396540,12
TKD-946,EXCESO_VELOCIDAD,LEVE,BUS,61.094951339600364,2025-06-13 15:30:29.396880,20
HTC-211,NO_CINTURON,LEVE,MOTO,71.70117269574874,2025-05-04 15:30:29.397277,20
BXM-840,USO_CELULAR,LEVE,AUTO,55.63790879783944,2025-02-17 15:30:29.397648,1
RGH-932,LUZ_ROJA,MUY_GRAVE,AUTO,53.88265370897184,2024-11-15 15:30:29.398026,2
EFS-747,EXCESO_VELOCIDAD,MUY_GRAVE,CAMION,66.73516445128404,2025-05-22 15:30:29.398377,21
EJA-217,INVASION_CARRIL,LEVE,CAMION,52.042385655927646,2025-08-31 15:30:29.398737,5
AXT-686,NO_CINTURON,MODERADA,AUTO,49.45405652998284,2025-10-05 15:30:29.399131,19
GRD-700,LUZ_ROJA,MODERADA,AUTO,66.5095113369757,2025-06-04 15:30:29.399491,2
LJI-562,NO_RESPETAR_PASO_PEATONAL,MODERADA,CAMION,49.167280381095416,2024-12-27 15:30:29.399845,3
AOA-552,ESTACIONAMIENTO_PROHIBIDO,MODERADA,MOTO,99.4381894695041,2025-09-17 15:30:29.400294,12
ZVZ-669,LUZ_ROJA,MODERADA,AUTO,58.37943450316124,2025-09-30 15:30:29.400652,12
XKS-692,USO_CELULAR,MODERADA,AUTO,58.96813730347683,2025-05-05 15:30:29.401044,10
TOO-738,NO_CINTURON,LEVE,AUTO,40.03155310928894,2024-11-01 15:30:29.401404,1
HBM-380,NO_RESPETAR_PASO_PEATONAL,LEVE,MOTO,64.17493591830322,2025-07-21 15:30:29.401744,8
IEX-448,LUZ_ROJA,GRAVE,AUTO,68.22794787802161,2025-07-07 15:30:29.402198,3
OMR-605,NO_RESPETAR_PASO_PEATONAL,GRAVE,MOTO,46.16350970982782,2024-12-08 15:30:29.402571,19
ZOJ-115,USO_CELULAR,MODERADA,AUTO,58.07238778716291,2025-10-05 15:30:29.402927,21
GRD-700,EXCESO_VELOCIDAD,LEVE,BUS,74.84054157423196,2025-04-12 15:30:29.403321,1
AAS-737,ESTACIONAMIENTO_PROHIBIDO,LEVE,AUTO,51.806333276212754,2025-08-08 15:30:29.403691,12
QMA-709,INVASION_CARRIL,MODERADA,AUTO,65.8770600810382,2025-04-22 15:30:29.404080,3
ICY-837,LUZ_ROJA,MODERADA,AUTO,42.104100676346455,2025-08-21 15:30:29.404474,15
PQZ-903,NO_CINTURON,GRAVE,MOTO,59.398672310151696,2025-08-31 15:30:29.404822,20
JMS-674,INVASION_CARRIL,MUY_GRAVE,MOTO,77.13489681807528,2025-08-13 15:30:29.405237,15
AYG-620,EXCESO_VELOCIDAD,MUY_GRAVE,AUTO,43.18766451719419,2025-02-22 15:30:29.405612,20
LEF-509,NO_CINTURON,MODERADA,CAMION,79.52611934098198,2024-11-03 15:30:29.406010,23
GNZ-232,EXCESO_VELOCIDAD,GRAVE,AUTO,83.42266795090279,2025-07-03 15:30:29.406373,7
KWA-913,LUZ_ROJA,GRAVE,MOTO,58.15479114964634,2025-09-25 15:30:29.406706,4
AAH-941,GIRO_PROHIBIDO,LEVE,AUTO,61.41269162520613,2025-05-26 15:30:29.409261,19
DQG-843,NO_RESPETAR_PASO_PEATONAL,GRAVE,AUTO,78.66050922202292,2024-10-25 15:30:29.409688,7
ODL-784,ESTACIONAMIENTO_PROHIBIDO,LEVE,AUTO,26.952593087612073,2024-11-09 15:30:29.410105,7
WNX-485,EXCESO_VELOCIDAD,MUY_GRAVE,MOTO,56.82995871673511,2025-03-09 15:30:29.410487,22
XAF-216,INVASION_CARRIL,LEVE,AUTO,58.2389871126756,2024-10-30 15:30:29.410858,7
XSG-102,NO_CINTURON,MODERADA,MOTO,68.07444118574449,2025-10-01 15:30:29.411251,9
EFT-381,LUZ_ROJA,MODERADA,AUTO,76.08761005964703,2024-12-01 15:30:29.411616,13
PMR-735,EXCESO_VELOCIDAD,LEVE,AUTO,63.15855050937697,2025-04-21 15:30:29.412054,16
EFI-325,NO_RESPETAR_PASO_PEATONAL,MODERADA,AUTO,67.68749328332275,2025-09-03 15:30:29.412459,16
ODO-569,NO_RESPETAR_PASO_PEATONAL,LEVE,MOTO,78.20597156588764,2024-10-17 15:30:29.412854,13
YNE-146,EXCESO_VELOCIDAD,LEVE,AUTO,57.89935722086643,2025-05-15 15:30:29.413256,10
GTF-600,NO_RESPETAR_PASO_PEATONAL,LEVE,AUTO,65.99531927628962,2025-01-02 15:30:29.413624,17
AOA-552,ESTACIONAMIENTO_PROHIBIDO,LEVE,AUTO,50.22964659312257,2025-01-07 15:30:29.414005,10
GQW-893,USO_CELULAR,MODERADA,AUTO,87.17062542997472,2024-12-21 15:30:29.414354,11
KPD-599,INVASION_CARRIL,MODERADA,AUTO,69.35323285352456,2025-04-09 15:30:29.414711,15
IAH-739,EXCESO_VELOCIDAD,GRAVE,BUS,56.86465114070962,2024-10-15 15:30:29.415105,1
DTD-341,EXCESO_VELOCIDAD,GRAVE,MOTO,47.2421931868605,2025-03-07 15:30:29.415453,1
RWR-322,EXCESO_VELOCIDAD,MODERADA,AUTO,63.46400161244992,2025-09-30 15:30:29.415819,16
OYI-679,EXCESO_VELOCIDAD,MUY_GRAVE,AUTO,63.54637014393673,2025-07-29 15:30:29.416222,15
YCC-766,INVASION_CARRIL,MODERADA,AUTO,55.686134708247174,2025-06-02 15:30:29.416592,19
QZU-575,INVASION_CARRIL,MODERADA,AUTO,45.876157239740316,2024-12-06 15:30:29.416981,7
JJS-977,LUZ_ROJA,MODERADA,AUTO,51.7221278116133,2025-09-28 15:30:29.417365,2
QEE-969,LUZ_ROJA,LEVE,MOTO,98.37298928502378,2025-01-31 15:30:29.417731,23
YCI-897,USO_CELULAR,MODERADA,AUTO,76.3541175951639,2025-03-15 15:30:29.418153,21
HZJ-701,EXCESO_VELOCIDAD,GRAVE,MOTO,38.68523158390831,2024-10-21 15:30:29.418537,18
XQD-448,EXCESO_VELOCIDAD,LEVE,MOTO,50.42484209785496,2025-06-21 15:30:29.418918,14
JCR-949,GIRO_PROHIBIDO,LEVE,AUTO,40.32940912368521,2025-03-28 15:30:29.419319,3
AAH-941,GIRO_PROHIBIDO,LEVE,AUTO,54.416898358934205,2025-05-28 15:30:29.419648,15
ZNK-495,EXCESO_VELOCIDAD,LEVE,AUTO,76.33122929556279,2025-06-27 15:30:29.420027,16
VVH-660,INVASION_CARRIL,LEVE,AUTO,64.84751571277172,2025-09-07 15:30:29.420396,13
REL-271,INVASION_CARRIL,GRAVE,AUTO,57.78596120551997,2025-08-24 15:30:29.420735,20
KYY-250,NO_RESPETAR_PASO_PEATONAL,GRAVE,MOTO,61.49858315853615,2025-07-04 15:30:29.421147,5
XKI-687,EXCESO_VELOCIDAD,MODERADA,AUTO,62.18942414569725,2025-09-11 15:30:29.421495,19
HZJ-701,ESTACIONAMIENTO_PROHIBIDO,LEVE,AUTO,45.68907378380517,2025-01-15 15:30:29.421859,23
QZU-575,EXCESO_VELOCIDAD,GRAVE,AUTO,45.69593080470453,2025-03-21 15:30:29.422280,5
DEW-330,EXCESO_VELOCIDAD,GRAVE,AUTO,75.7958614952307,2025-09-21 15:30:29.422627,3
HJI-894,ESTACIONAMIENTO_PROHIBIDO,LEVE,CAMION,90.49957947905196,2025-05-05 15:30:29.422990,23
DVQ-300,NO_RESPETAR_PASO_PEATONAL,MODERADA,CAMION,58.35676062796195,2025-05-23 15:30:29.423343,4
AEW-388,NO_RESPETAR_PASO_PEATONAL,LEVE,MOTO,50.93981587612309,2024-12-11 15:30:29.423681,18
USP-480,NO_RESPETAR_PASO_PEATONAL,MODERADA,AUTO,48.981126348029264,2024-11-19 15:30:29.424036,21
DMK-358,USO_CELULAR,LEVE,CAMION,47.84621344478428,2025-08-30 15:30:29.424436,8
NOU-618,GIRO_PROHIBIDO,MODERADA,AUTO,43.9179148202159,2024-11-05 15:30:29.424769,4
HUG-221,NO_CINTURON,LEVE,AUTO,16.17974274758089,2025-05-21 15:30:29.425203,15
LBW-838,NO_CINTURON,MODERADA,AUTO,80.95839633838145,2025-05-27 15:30:29.425551,2
MOU-179,GIRO_PROHIBIDO,MODERADA,AUTO,60.85519704556577,2025-01-08 15:30:29.425880,19
ZUR-592,EXCESO_VELOCIDAD,GRAVE,AUTO,64.84618909674043,2025-03-12 15:30:29.426259,19
VWV-849,EXCESO_VELOCIDAD,MUY_GRAVE,AUTO,56.21469746810568,2025-01-01 15:30:29.426604,16
DLZ-904,USO_CELULAR,LEVE,AUTO,48.57806751871575,2025-02-27 15:30:29.426979,5
GNT-950,NO_CINTURON,GRAVE,AUTO,37.2579626984517,2025-03-29 15:30:29.427346,18
CIM-245,EXCESO_VELOCIDAD,MODERADA,AUTO,65.43856222539728,2025-07-19 15:30:29.427696,7
JLX-926,NO_CINTURON,LEVE,CAMION,80.52632931709013,2025-03-16 15:30:29.428068,9
EJA-217,NO_CINTURON,GRAVE,AUTO,54.97837001840189,2025-10-04 15:30:29.428444,4
UQW-584,NO_CINTURON,LEVE,AUTO,53.94527305137005,2025-02-08 15:30:29.428790,18
HCC-388,LUZ_ROJA,GRAVE,AUTO,59.86370137910616,2025-09-21 15:30:29.429170,12
YCI-897,EXCESO_VELOCIDAD,GRAVE,AUTO,64.54684442387764,2025-02-07 15:30:29.429524,4
WYH-824,LUZ_ROJA,LEVE,MOTO,52.14005139816965,2025-02-27 15:30:29.429869,8
SDR-613,NO_RESPETAR_PASO_PEATONAL,LEVE,MOTO,41.14183087713694,2024-10-13 15:30:29.430260,11
WQI-198,EXCESO_VELOCIDAD,MODERADA,MOTO,45.01046651557634,2025-01-08 15:30:29.430612,23
EJJ-182,LUZ_ROJA,LEVE,AUTO,52.42837618157674,2025-09-01 15:30:29.430969,18
WLG-626,EXCESO_VELOCIDAD,MODERADA,AUTO,83.73744545370303,2025-06-26 15:30:29.431372,10
VVH-660,NO_RESPETAR_PASO_PEATONAL,MODERADA,AUTO,67.70243215381522,2025-01-13 15:30:29.431708,1
FXE-983,EXCESO_VELOCIDAD,LEVE,MOTO,67.0433875402939,2025-10-11 15:30:29.432076,7
AEI-623,EXCESO_VELOCIDAD,MODERADA,MOTO,44.901585133681465,2024-12-13 15:30:29.432457,5
MDP-891,EXCESO_VELOCIDAD,LEVE,AUTO,67.70861774488372,2025-09-03 15:30:29.432794,8
SOR-293,LUZ_ROJA,GRAVE,MOTO,62.69372672909397,2025-05-31 15:30:29.433156,22
CMN-475,LUZ_ROJA,MODERADA,AUTO,62.112426397916245,2025-09-07 15:30:29.433484,18
XAL-747,INVASION_CARRIL,MODERADA,AUTO,76.50896410141965,2024-11-02 15:30:29.433826,13
ZUR-592,NO_RESPETAR_PASO_PEATONAL,LEVE,MOTO,72.65121464094,2025-04-22 15:30:29.434212,6
FRS-355,GIRO_PROHIBIDO,LEVE,MOTO,67.42819429686168,2025-01-10 15:30:29.434564,14
BDQ-198,LUZ_ROJA,GRAVE,AUTO,56.64801026442222,2024-11-26 15:30:29.434923,0
EFI-325,EXCESO_VELOCIDAD,GRAVE,AUTO,54.760248058227035,2024-11-12 15:30:29.435341,8
IQN-242,LUZ_ROJA,GRAVE,CAMION,42.02843905103673,2025-06-14 15:30:29.435677,22
ZUB-439,EXCESO_VELOCIDAD,GRAVE,AUTO,40.902603461362006,2025-09-07 15:30:29.436151,10
FWD-538,GIRO_PROHIBIDO,MODERADA,MOTO,47.877872183890965,2025-04-23 15:30:29.436510,0
ZDZ-747,NO_RESPETAR_PASO_PEATONAL,MODERADA,MOTO,49.267924543027924,2025-03-10 15:30:29.436859,0
LZV-352,USO_CELULAR,MODERADA,AUTO,82.1108407873212,2024-10-16 15:30:29.437277,18
PMR-978,EXCESO_VELOCIDAD,LEVE,CAMION,54.71980387719789,2025-09-04 15:30:29.437635,19
EIX-291,NO_CINTURON,MODERADA,AUTO,70.90979770531072,2025-08-06 15:30:29.438039,21
DQL-500,NO_RESPETAR_PASO_PEATONAL,MODERADA,MOTO,49.88669390532204,2025-01-28 15:30:29.438452,7
VCP-780,ESTACIONAMIENTO_PROHIBIDO,GRAVE,AUTO,61.592681517333176,2025-01-02 15:30:29.438794,7
HYE-494,EXCESO_VELOCIDAD,MUY_GRAVE,AUTO,52.95671731408,2025-02-13 15:30:29.439184,2
ISP-939,ESTACIONAMIENTO_PROHIBIDO,MODERADA,AUTO,74.44003379378297,2025-08-24 15:30:29.439517,13
WPR-106,EXCESO_VELOCIDAD,LEVE,AUTO,95.45576803945052,2025-07-14 15:30:29.439845,6
ZKF-485,ESTACIONAMIENTO_PROHIBIDO,LEVE,AUTO,51.288333172440424,2025-09-25 15:30:29.440212,23
CSH-328,EXCESO_VELOCIDAD,MODERADA,CAMION,72.80569568524243,2025-04-03 15:30:29.440538,10
ZXR-405,NO_RESPETAR_PASO_PEATONAL,LEVE,AUTO,39.334488403247214,2024-11-14 15:30:29.440861,7
EEV-146,NO_CINTURON,LEVE,MOTO,32.13011937563393,2024-12-15 15:30:29.441294,6
XSP-267,INVASION_CARRIL,LEVE,MOTO,62.17301496986333,2024-11-08 15:30:29.441653,17
MBY-810,NO_CINTURON,GRAVE,MOTO,50.77840702264623,2025-05-18 15:30:29.442074,14
SEL-916,USO_CELULAR,MUY_GRAVE,AUTO,77.01720780126479,2025-01-27 15:30:29.442452,8
ZRE-140,EXCESO_VELOCIDAD,MODERADA,AUTO,47.81392501515354,2025-03-16 15:30:29.442816,18
VQT-781,LUZ_ROJA,LEVE,AUTO,79.97218211096693,2025-07-11 15:30:29.443219,5
UJD-140,USO_CELULAR,LEVE,AUTO,71.42705667130176,2025-01-17 15:30:29.443568,2
EDJ-283,ESTACIONAMIENTO_PROHIBIDO,MODERADA,AUTO,62.397845879961004,2025-03-03 15:30:29.443912,22
YKH-141,NO_CINTURON,GRAVE,MOTO,44.58487288611063,2025-05-19 15:30:29.444308,3
IEX-448,LUZ_ROJA,MODERADA,CAMION,38.854593456997996,2024-12-28 15:30:29.444667,2
TYR-146,INVASION_CARRIL,MUY_GRAVE,AUTO,66.97471244611623,2024-10-17 15:30:29.445035,10
MYU-745,LUZ_ROJA,LEVE,AUTO,68.6525725181189,2024-12-26 15:30:29.445398,23
UYD-493,ESTACIONAMIENTO_PROHIBIDO,LEVE,CAMION,24.124175134308096,2025-04-02 15:30:29.445736,14
AAH-941,EXCESO_VELOCIDAD,MODERADA,AUTO,66.54637694239618,2024-12-22 15:30:29.446126,4
HBL-848,EXCESO_VELOCIDAD,LEVE,BUS,79.8951329698083,2024-11-25 15:30:29.446446,3
MTA-875,LUZ_ROJA,MODERADA,AUTO,68.19426372005549,2025-01-25 15:30:29.446775,13
HVY-338,EXCESO_VELOCIDAD,LEVE,AUTO,60.09633404716407,2024-12-01 15:30:29.447140,14
UER-703,EXCESO_VELOCIDAD,MUY_GRAVE,AUTO,58.598488936245005,2025-07-17 15:30:29.447487,5
IQN-242,NO_RESPETAR_PASO_PEATONAL,MODERADA,AUTO,63.434736375916174,2025-08-14 15:30:29.447821,14
SZW-445,EXCESO_VELOCIDAD,LEVE,AUTO,42.091124904014166,2024-12-11 15:30:29.448218,12
YCI-897,EXCESO_VELOCIDAD,LEVE,MOTO,62.1441464214556,2025-08-31 15:30:29.448547,1
UQW-584,GIRO_PROHIBIDO,LEVE,AUTO,43.27971958110031,2025-05-26 15:30:29.448901,6
FHW-914,EXCESO_VELOCIDAD,MODERADA,AUTO,71.19389561199888,2025-06-23 15:30:29.449291,1
AEW-861,EXCESO_VELOCIDAD,GRAVE,MOTO,44.272138301922105,2025-05-13 15:30:29.449647,18
SQD-495,GIRO_PROHIBIDO,LEVE,CAMION,41.98454750884613,2025-07-03 15:30:29.450035,3
JBC-570,EXCESO_VELOCIDAD,MUY_GRAVE,CAMION,63.98829447089,2025-05-25 15:30:29.450403,21
KLM-111,GIRO_PROHIBIDO,MODERADA,AUTO,86.53675050394929,2025-04-11 15:30:29.450710,19
RWR-322,INVASION_CARRIL,MUY_GRAVE,AUTO,65.6565059085328,2025-02-18 15:30:29.451236,19
SXS-417,ESTACIONAMIENTO_PROHIBIDO,LEVE,AUTO,59.56105779472532,2025-07-29 15:30:29.451610,0
OQY-443,GIRO_PROHIBIDO,LEVE,AUTO,100.73919858469324,2025-04-16 15:30:29.452011,20
OYI-679,ESTACIONAMIENTO_PROHIBIDO,MODERADA,MOTO,55.954222026639954,2025-02-15 15:30:29.452405,3
UYF-830,NO_RESPETAR_PASO_PEATONAL,LEVE,AUTO,57.07637579470978,2025-03-01 15:30:29.452784,7
KEL-934,EXCESO_VELOCIDAD,LEVE,AUTO,77.00655145300597,2025-04-06 15:30:29.453174,22
JXR-350,GIRO_PROHIBIDO,MUY_GRAVE,AUTO,61.18500125416594,2024-11-26 15:30:29.453527,20
IXC-734,INVASION_CARRIL,LEVE,MOTO,76.19315431217461,2024-12-30 15:30:29.453874,14
QQT-979,NO_RESPETAR_PASO_PEATONAL,MODERADA,MOTO,70.87643680271995,2025-10-11 15:30:29.454237,14
LHV-646,LUZ_ROJA,MUY_GRAVE,MOTO,67.74267430672438,2025-03-25 15:30:29.454529,0
YVM-798,GIRO_PROHIBIDO,LEVE,AUTO,45.60258004629528,2025-01-25 15:30:29.455261,5
JCG-863,EXCESO_VELOCIDAD,LEVE,MOTO,74.62576642955203,2025-04-22 15:30:29.455571,1
MOK-640,NO_RESPETAR_PASO_PEATONAL,MODERADA,AUTO,60.01808213043336,2025-02-20 15:30:29.455863,15
HWG-742,LUZ_ROJA,LEVE,AUTO,47.74367053397714,2025-06-23 15:30:29.460397,1
WCQ-680,ESTACIONAMIENTO_PROHIBIDO,LEVE,AUTO,77.2544403945209,2025-02-21 15:30:29.460735,20
BOH-468,NO_CINTURON,LEVE,MOTO,64.19763991496413,2025-03-12 15:30:29.462809,16
MDD-169,USO_CELULAR,MODERADA,AUTO,50.26629178091252,2025-05-05 15:30:29.463224,17
GRD-700,ESTACIONAMIENTO_PROHIBIDO,LEVE,AUTO,62.83638740758578,2024-11-11 15:30:29.463541,21
XAL-747,USO_CELULAR,LEVE,MOTO,59.616385317120084,2024-12-26 15:30:29.463833,17
ZNB-177,NO_CINTURON,LEVE,MOTO,33.46386142666323,2025-07-25 15:30:29.464204,16
TIQ-247,LUZ_ROJA,LEVE,MOTO,47.12325089437971,2025-05-26 15:30:29.464552,0
JBZ-884,EXCESO_VELOCIDAD,GRAVE,AUTO,76.88381656560516,2025-07-04 15:30:29.464870,17
DQG-843,NO_RESPETAR_PASO_PEATONAL,MODERADA,AUTO,62.77219906146278,2025-04-09 15:30:29.465395,22
EJJ-182,USO_CELULAR,MUY_GRAVE,MOTO,66.90629594160072,2025-04-20 15:30:29.465742,22
QMA-709,GIRO_PROHIBIDO,MODERADA,BUS,44.169194743612685,2025-09-21 15:30:29.466151,19
HYE-494,NO_CINTURON,MUY_GRAVE,AUTO,75.87726815295487,2024-12-12 15:30:29.466537,6
MIO-912,INVASION_CARRIL,MODERADA,AUTO,79.06049377638287,2024-10-16 15:30:29.466883,6
SGJ-332,EXCESO_VELOCIDAD,MODERADA,AUTO,69.46223773716929,2025-09-26 15:30:29.467274,8
PDE-987,INVASION_CARRIL,GRAVE,MOTO,69.722059048613,2025-02-17 15:30:29.467622,1
YUG-784,LUZ_ROJA,MODERADA,MOTO,71.33782439639909,2025-09-14 15:30:29.467993,5
DQL-500,LUZ_ROJA,MODERADA,AUTO,47.87709622424367,2025-02-19 15:30:29.468348,2
SGU-940,LUZ_ROJA,LEVE,AUTO,62.31475689954421,2025-08-29 15:30:29.468696,14
CGF-555,NO_CINTURON,LEVE,CAMION,67.54927003224974,2025-05-27 15:30:29.469066,2
YGC-230,GIRO_PROHIBIDO,LEVE,CAMION,72.19610447444248,2025-09-18 15:30:29.469441,10
